Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Dec 26 2016,8:00p,Phoenix Suns,115,Houston Rockets,131,Box Score,,18055,Toyota Center,
Mon Dec 26 2016,8:00p,Atlanta Hawks,90,Minnesota Timberwolves,104,Box Score,,15617,Target Center,
Mon Dec 26 2016,8:00p,Dallas Mavericks,104,New Orleans Pelicans,111,Box Score,,15764,Smoothie King Center,
Mon Dec 26 2016,10:00p,Toronto Raptors,95,Portland Trail Blazers,91,Box Score,,19393,Moda Center,
Mon Dec 26 2016,10:30p,Denver Nuggets,106,Los Angeles Clippers,102,Box Score,,19060,STAPLES Center,
Mon Dec 26 2016,10:30p,Philadelphia 76ers,100,Sacramento Kings,102,Box Score,,17608,Golden 1 Center,
Tue Dec 27 2016,7:30p,Memphis Grizzlies,103,Boston Celtics,113,Box Score,,18624,TD Garden,
Tue Dec 27 2016,7:30p,Oklahoma City Thunder,106,Miami Heat,94,Box Score,,19977,AmericanAirlines Arena,
Tue Dec 27 2016,8:30p,Houston Rockets,123,Dallas Mavericks,107,Box Score,,20425,American Airlines Center,
Tue Dec 27 2016,10:30p,Utah Jazz,102,Los Angeles Lakers,100,Box Score,,18997,STAPLES Center,
Wed Dec 28 2016,7:00p,Charlotte Hornets,120,Orlando Magic,101,Box Score,,18273,Amway Center,
Wed Dec 28 2016,7:00p,Indiana Pacers,105,Washington Wizards,111,Box Score,,16172,Verizon Center,
Wed Dec 28 2016,7:30p,New York Knicks,98,Atlanta Hawks,102,Box Score,OT,19066,Philips Arena,
Wed Dec 28 2016,7:30p,Milwaukee Bucks,119,Detroit Pistons,94,Box Score,,17222,The Palace of Auburn Hills,
Wed Dec 28 2016,8:00p,Brooklyn Nets,99,Chicago Bulls,101,Box Score,,21957,United Center,
Wed Dec 28 2016,8:00p,Los Angeles Clippers,98,New Orleans Pelicans,102,Box Score,,16647,Smoothie King Center,
Wed Dec 28 2016,8:30p,Phoenix Suns,98,San Antonio Spurs,119,Box Score,,18418,AT&T Center,
Wed Dec 28 2016,9:00p,Minnesota Timberwolves,103,Denver Nuggets,105,Box Score,,15093,Pepsi Center,
Wed Dec 28 2016,10:00p,Sacramento Kings,89,Portland Trail Blazers,102,Box Score,,19665,Moda Center,
Wed Dec 28 2016,10:30p,Toronto Raptors,111,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Thu Dec 29 2016,7:00p,Miami Heat,82,Charlotte Hornets,91,Box Score,,19471,Spectrum Center,
Thu Dec 29 2016,8:00p,Boston Celtics,118,Cleveland Cavaliers,124,Box Score,,20562,Quicken Loans Arena,
Thu Dec 29 2016,8:00p,Oklahoma City Thunder,80,Memphis Grizzlies,114,Box Score,,18119,FedEx Forum,
Thu Dec 29 2016,9:00p,Toronto Raptors,91,Phoenix Suns,99,Box Score,,18055,Talking Stick Resort Arena,
Thu Dec 29 2016,9:00p,Philadelphia 76ers,83,Utah Jazz,100,Box Score,,19911,Vivint Smart Home Arena,
Thu Dec 29 2016,10:30p,Dallas Mavericks,101,Los Angeles Lakers,89,Box Score,,18997,STAPLES Center,
Fri Dec 30 2016,4:00p,Chicago Bulls,101,Indiana Pacers,111,Box Score,,17923,Bankers Life Fieldhouse,
Fri Dec 30 2016,7:00p,Brooklyn Nets,95,Washington Wizards,118,Box Score,,16461,Verizon Center,
Fri Dec 30 2016,7:30p,Miami Heat,114,Boston Celtics,117,Box Score,,18624,TD Garden,
Fri Dec 30 2016,8:00p,Detroit Pistons,98,Atlanta Hawks,105,Box Score,,19009,Philips Arena,
Fri Dec 30 2016,8:00p,Los Angeles Clippers,116,Houston Rockets,140,Box Score,,18055,Toyota Center,
Fri Dec 30 2016,8:00p,Milwaukee Bucks,99,Minnesota Timberwolves,116,Box Score,,17779,Target Center,
Fri Dec 30 2016,8:00p,New York Knicks,92,New Orleans Pelicans,104,Box Score,,18124,Smoothie King Center,
Fri Dec 30 2016,8:30p,Portland Trail Blazers,94,San Antonio Spurs,110,Box Score,,18418,AT&T Center,
Fri Dec 30 2016,9:00p,Philadelphia 76ers,124,Denver Nuggets,122,Box Score,,13619,Pepsi Center,
Fri Dec 30 2016,10:30p,Dallas Mavericks,99,Golden State Warriors,108,Box Score,,19596,Oracle Arena,
Sat Dec 31 2016,5:00p,Memphis Grizzlies,112,Sacramento Kings,98,Box Score,,17608,Golden 1 Center,
Sat Dec 31 2016,7:00p,Milwaukee Bucks,116,Chicago Bulls,96,Box Score,,21838,United Center,
Sat Dec 31 2016,7:00p,Cleveland Cavaliers,121,Charlotte Hornets,109,Box Score,,19519,Spectrum Center,
Sat Dec 31 2016,8:00p,New York Knicks,122,Houston Rockets,129,Box Score,,18055,Toyota Center,
Sat Dec 31 2016,8:00p,Los Angeles Clippers,88,Oklahoma City Thunder,114,Box Score,,18203,Chesapeake Energy Arena,
Sat Dec 31 2016,8:00p,Phoenix Suns,86,Utah Jazz,91,Box Score,,19911,Vivint Smart Home Arena,
