Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Nov 8 2016,10:00p,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,Moda Center,
Tue Nov 8 2016,10:30p,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,STAPLES Center,
Tue Nov 8 2016,10:30p,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,Golden 1 Center,
Wed Nov 9 2016,7:00p,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,Spectrum Center,
Wed Nov 9 2016,7:00p,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,Bankers Life Fieldhouse,
Wed Nov 9 2016,7:00p,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,Madison Square Garden (IV),
Wed Nov 9 2016,7:00p,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,Amway Center,
Wed Nov 9 2016,7:00p,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,Verizon Center,
Wed Nov 9 2016,7:30p,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,Philips Arena,
Wed Nov 9 2016,8:00p,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,Chesapeake Energy Arena,
Wed Nov 9 2016,9:00p,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,Talking Stick Resort Arena,
Wed Nov 9 2016,9:30p,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,AT&T Center,
Wed Nov 9 2016,10:30p,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,Oracle Arena,
Wed Nov 9 2016,10:30p,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,STAPLES Center,
Thu Nov 10 2016,8:00p,Chicago Bulls,98,Miami Heat,95,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 10 2016,8:00p,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,,12159,BMO Harris Bradley Center,
Thu Nov 10 2016,9:00p,Golden State Warriors,125,Denver Nuggets,101,Box Score,,17569,Pepsi Center,
Thu Nov 10 2016,10:30p,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,,17608,Golden 1 Center,
Fri Nov 11 2016,7:00p,Toronto Raptors,113,Charlotte Hornets,111,Box Score,,18107,Spectrum Center,
Fri Nov 11 2016,7:00p,Utah Jazz,87,Orlando Magic,74,Box Score,,18846,Amway Center,
Fri Nov 11 2016,7:00p,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,OT,17643,Wells Fargo Center,
Fri Nov 11 2016,7:00p,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,,20356,Verizon Center,
Fri Nov 11 2016,7:30p,New York Knicks,87,Boston Celtics,115,Box Score,,18624,TD Garden,
Fri Nov 11 2016,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 11 2016,8:30p,Detroit Pistons,86,San Antonio Spurs,96,Box Score,,18418,AT&T Center,
Fri Nov 11 2016,10:00p,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,OT,19918,Moda Center,
Sat Nov 12 2016,7:00p,Boston Celtics,105,Indiana Pacers,99,Box Score,,17923,Bankers Life Fieldhouse,
Sat Nov 12 2016,7:00p,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,,17138,Smoothie King Center,
Sat Nov 12 2016,7:30p,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,,17399,Philips Arena,
Sat Nov 12 2016,7:30p,New York Knicks,107,Toronto Raptors,118,Box Score,,19800,Air Canada Centre,
Sat Nov 12 2016,8:00p,Washington Wizards,95,Chicago Bulls,106,Box Score,,21962,United Center,
Sat Nov 12 2016,8:00p,San Antonio Spurs,106,Houston Rockets,100,Box Score,,18055,Toyota Center,
Sat Nov 12 2016,8:00p,Utah Jazz,102,Miami Heat,91,Box Score,,19600,AmericanAirlines Arena,
Sat Nov 12 2016,8:00p,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,,14494,Target Center,
Sat Nov 12 2016,8:30p,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,,14327,BMO Harris Bradley Center,
Sat Nov 12 2016,9:00p,Detroit Pistons,106,Denver Nuggets,95,Box Score,,13997,Pepsi Center,
Sat Nov 12 2016,9:00p,Brooklyn Nets,122,Phoenix Suns,104,Box Score,,17126,Talking Stick Resort Arena,
Sun Nov 13 2016,3:30p,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,,20562,Quicken Loans Arena,
Sun Nov 13 2016,7:00p,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,,14432,Target Center,
Sun Nov 13 2016,7:00p,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,,18203,Chesapeake Energy Arena,
